Method,Name,Error,Occurrences
GET,/api/admin/manifestacoes [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/admin/manifestacoes [GET]'),31
GET,/api/manifestacoes/:protocolo [GET 404],HTTPError('500 Server Error: Internal Server Error for url: /api/manifestacoes/:protocolo [GET 404]'),327
