Method,Name,Error,Occurrences
GET,/api/admin/manifestacoes [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/admin/manifestacoes [GET]'),75
GET,/api/manifestacoes/:protocolo [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/manifestacoes/:protocolo [GET]'),1
GET,/api/manifestacoes/:protocolo [GET 404],HTTPError('500 Server Error: Internal Server Error for url: /api/manifestacoes/:protocolo [GET 404]'),587
POST,/api/manifestacoes [POST],"CatchResponseError('Status 500: {""error"":""\\nInvalid `prisma.manifestacao.findUnique()` invocation in\\n/home/marcio/OUV/backend/src/repositories/manifestacaoRepository.ts:32:32\\n\\n  29 },\\n  30 \\n  31 async findByProtocolo(protocolo:')",1
POST,/api/manifestacoes [POST],"CatchResponseError('Status 500: {""error"":""\\nInvalid `prisma.manifestacao.create()` invocation in\\n/home/marcio/OUV/backend/src/repositories/manifestacaoRepository.ts:16:32\\n\\n  13 \\n  14 export const manifestacaoRepository = {\\n  15')",2
