Method,Name,Error,Occurrences
GET,/api/admin/manifestacoes [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/admin/manifestacoes [GET]'),185
POST,/api/admin/manifestacoes/:id/resposta [POST],"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/admin/manifestacoes/:id [GET],"ConnectionResetError(104, 'Connection reset by peer')",2
GET,/api/manifestacoes/:protocolo [GET 404],HTTPError('500 Server Error: Internal Server Error for url: /api/manifestacoes/:protocolo [GET 404]'),1521
GET,/api/admin/manifestacoes [GET],"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/admin/dashboard,"ConnectionResetError(104, 'Connection reset by peer')",1
